10.1111/conl.12665,post assessment
10.1111/conl.12680,post assessment
10.1007/s40333-020-0121-7,assessment
10.1016/j.jenvman.2020.110203,assessment
10.1016/j.ecolind.2019.105446,assessment
10.1016/j.ecolind.2019.04.075,assessment
10.1111/conl.12666,post assessment
10.1111/ecog.04143,pre assessment
10.2305/IUCN.CH.2016.RLE.3.en,pre assessment
10.2305/IUCN.CH.2016.RLE.1.en,pre assessment
10.1111/conl.12623,assessment
10.1111/cobi.13107,pre assessment
10.1111/aec.12203,assessment
10.1002/fee.1747,pre assessment
10.1007/s10531-006-9102-1,pre assessment
10.1007/s10531-009-9684-5,pre assessment
10.1016/j.biocon.2009.02.015,pre assessment
10.1080/00045600701733911,pre assessment
10.1016/j.ecolind.2017.06.049,pre assessment
10.1016/j.jnc.2016.03.007,pre assessment
10.1016/j.scitotenv.2017.11.034,pre assessment
10.1111/j.1442-8903.2009.00453.x,pre assessment
10.1111/j.1523-1739.2010.01598.x,pre assessment
10.1371/journal.pone.0062111,pre assessment
10.17520/biods.2016134,pre assessment
10.1111/cobi.13107,pre assessment
10.1111/cobi.12988,pre assessment
10.1111/conl.12111,pre assessment
10.1111/conl.12167,pre assessment
10.1111/ddi.12533,pre assessment
10.1098/rstb.2014.0003,pre assessment
10.1101/212464,pre assessment
10.1080/14888386.2015.1068710,pre assessment
10.1111/aec.12148,pre assessment
10.1111/aec.12249,post assessment
10.1080/14888386.2015.1075903,post assessment
10.17520/biods.2016134,pre assessment
10.1371/journal.pone.0160640,post assessment
10.1111/avsc.12112,post assessment
10.1007/s10021-001-0051-y,unclassified
10.1007/s10531-013-0497-1,unclassified
10.1016/j.biocon.2011.02.004,unclassified
10.1016/j.ecoinf.2016.08.003,unclassified
10.1007/s12210-018-0688-5,post assessment
10.1007/s40333-020-0121-7,assessment
10.1016/j.biocon.2016.10.038,assessment
10.1016/j.biocon.2017.09.011,assessment
10.1016/j.biocon.2018.08.019,assessment
10.1016/j.ocecoaman.2017.02.021,assessment
10.1016/j.ecolind.2019.105446,assessment
10.1016/j.ecoleng.2014.05.006,assessment
10.1016/j.ecolind.2018.03.076,assessment
10.1017/s0376892908005237,assessment
10.1111/aec.12177,assessment
10.1111/aec.12199,assessment
10.1111/aec.12200,assessment
10.1111/aec.12201,assessment
10.1111/aec.12202,assessment
10.1111/aec.12203,assessment
10.1111/aec.12209,assessment
10.1111/aec.12211,assessment
10.1111/j.1523-1739.2010.01598.x,pre assessment
10.1111/aec.12237,assessment
10.1111/j.1523-1739.2012.01868.x,assessment
10.1111/conl.12623,assessment
10.1111/cobi.12065,assessment
10.1111/cobi.13038,assessment
10.1111/aec.12263,assessment
10.1111/aec.12265,assessment
10.1111/aec.12266,assessment
10.1080/23766808.2017.1298495,assessment
10.1098/rspb.2017.0660,assessment
10.1007/s10531-017-1393-x,pre assessment
10.1111/conl.12666,post assessment
10.1111/conl.12680,post assessment
10.1038/d41586-020-00446-1,post assessment
10.1111/2041-210X.13043,pre assessment
10.1111/ecog.04143,pre assessment
10.1111/conl.12665,post assessment
10.1111/cobi.13425,uncategorized
10.1016/j.biocon.2020.108559,post assessment
10.1016/j.ecolind.2020.106489,assessment
10.1016/j.ecolind.2020.106453,post assessment
10.3390/su12031084,assessment
10.1016/j.jnc.2020.125834,assessment
10.1111/cobi.14169,post assessment
10.1111/cobi.13995,pre assessment
10.1016/j.biocon.2020.108834,assessment
10.1111/conl.12666,post assessment
10.2305/iucn.ch.2020.13.en,pre assessment
10.1111/conl.12680,post assessment
10.1111/conl.12623,assessment
10.1038/s41586-022-05318-4,pre assessment
10.1016/j.ecolind.2018.03.076,assessment
10.1016/j.ecoinf.2016.08.003,pre assessment
10.1080/26395916.2023.2222185,post assessment
10.1016/j.ecolind.2019.04.075,assessment
10.3389/fmars.2018.00402,post assessment
10.32942/X2VK54,assessment
10.32942/X2WW3S,assessment
10.32942/X21K5P,assessment
10.32942/X2930F,assessment
10.32942/X2DW3F,assessment
10.32942/X2JK5B,assessment
10.32942/X2HS4Q,pre assessment
10.32942/osf.io/y86ar,post assessment
10.1111/gcb.15539,post assessment
10.1007/978-3-030-71330-0,pre assessment
10.1111/conl.12348,pre assessment
10.1038/nature11869,pre assessment
10.1016/j.foreco.2023.121236,pre assessment
10.2305/IUCN.CH.2021.19.en,post assessment
10.2305/IUCN.CH.2016.RLE.2.en,pre assessment
